,artist_name,track_name,release_date,genre,len,topic,age
0,mukesh,mohabbat bhi jhoothi,1950,pop,95,sadness,1
4,frankie laine,i believe,1950,pop,51,world/life,1
6,johnnie ray,cry,1950,pop,24,music,1
10,pérez prado,patricia,1950,pop,54,romantic,1
12,giorgos papadopoulos,apopse eida oneiro,1950,pop,48,romantic,1
14,perry como,round and round (with mitchell ayres and his orchestra & the ray charles singers),1950,pop,98,violence,1
15,freestyle,opm medley: when i met you,1950,pop,179,world/life,1
17,johnny mathis,it's not for me to say,1950,pop,21,world/life,1
20,stélios kazantzídis,klapse me mana klapse me,1950,pop,30,romantic,1
23,stélios kazantzídis,finito la mouzika,1950,pop,61,sadness,1
28,liva weel,"drømmer man om den, vågner..",1951,pop,113,obscene,0.985714285714286
32,the chordettes,carolina moon,1951,pop,38,night/time,0.985714285714286
33,frankie laine,necessary evil,1951,pop,173,obscene,0.985714285714286
34,ghantasala,kanugona galano,1951,pop,73,sadness,0.985714285714286
36,les paul,the carioca,1951,pop,60,romantic,0.985714285714286
37,les paul,chicken reel,1951,pop,199,world/life,0.985714285714286
40,les paul,blue skies,1951,pop,43,music,0.985714285714286
44,les paul,dark eyes,1951,pop,182,violence,0.985714285714286
53,asha bhosle,kotha mukunda,1952,pop,48,violence,0.971428571428571
54,asha bhosle,awaz deta hai sola ka din,1952,pop,148,feelings,0.971428571428571
56,mohammed rafi,jahan men log sachhe ashikon ko,1952,pop,84,sadness,0.971428571428571
57,ghantasala,avanee nee pathi,1952,pop,104,violence,0.971428571428571
58,ghantasala,ee jagamantha natika,1952,pop,41,romantic,0.971428571428571
62,les paul,smoke rings,1952,pop,35,music,0.971428571428571
64,mukesh,hum tujhse mohabbat kar ke,1952,pop,73,music,0.971428571428571
65,lata mangeshkar,paas nahin aaiye haath na lagaiye,1952,pop,18,night/time,0.971428571428571
66,lata mangeshkar,main na janoon,1952,pop,38,music,0.971428571428571
68,asha bhosle,gullyachi shapath,1952,pop,127,obscene,0.971428571428571
70,lata mangeshkar,judai ki khabar hoti agar,1952,pop,78,world/life,0.971428571428571
73,lata mangeshkar,maagata maagata janm gele,1953,pop,52,violence,0.957142857142857
74,lata mangeshkar,chupke chupke (from ''paying guest''),1953,pop,32,violence,0.957142857142857
75,asha bhosle,chahe kitna mujhe tum bulao ji,1953,pop,15,sadness,0.957142857142857
77,asha bhosle,tu bol na bol,1953,pop,79,romantic,0.957142857142857
80,mukesh,raat andheri door savera,1953,pop,83,world/life,0.957142857142857
84,ghantasala,thunintha pin,1953,pop,87,world/life,0.957142857142857
86,les paul,i'm sitting on top of the world,1953,pop,31,music,0.957142857142857
90,les paul,the world is waiting for the sunrise,1953,pop,25,romantic,0.957142857142857
99,t. m. soundararajan,ethanai periya,1953,pop,74,world/life,0.957142857142857
100,talat mahmood,ansoo to nahin hai ankhon men,1953,pop,104,obscene,0.957142857142857
101,andy williams,it's the most wonderful time of the year,1953,pop,79,night/time,0.957142857142857
102,lata mangeshkar,chandan ka palna resham ko dori,1954,pop,19,world/life,0.942857142857143
106,lata mangeshkar,le chal ri nindiya le chal hamen,1954,pop,64,violence,0.942857142857143
110,frankie laine,after you've gone,1954,pop,99,violence,0.942857142857143
115,asha bhosle,mere hamsafar tujhe kya khabar,1954,pop,20,romantic,0.942857142857143
118,sven-bertil taube,viljen i veta (would you like to know?),1954,pop,53,world/life,0.942857142857143
125,bobby vinton,blue velvet,1954,pop,46,music,0.942857142857143
126,los hermanos arriagada,poema,1954,pop,55,sadness,0.942857142857143
127,the drifters,the bells of st. mary's,1954,pop,32,music,0.942857142857143
128,the chordettes,for me and my gal,1954,pop,18,music,0.942857142857143
130,harry belafonte,mark twain,1954,pop,64,music,0.942857142857143
133,harry belafonte,the next big river,1954,pop,112,violence,0.942857142857143
